"Статус сверки";"Артикул";"Номенклатура Excel";"Номенклатура 1С";"Единица Excel";"Единица 1С";"Тип Excel";"Вид номенклатуры 1С";"Тип номенклатуры 1С";"Плановая цена Excel";"Плановая цена 1С";"Дата цены 1С";"Ассортимент Excel";"Ассортимент 1С";"Группировка бренда Excel";"Группировка бренда 1С"
"OK";"ALON011";"NOTALONE Антицеллюлитный солевой скраб «notalone» с ароматом ванили, 250 мл";"NOTALONE Антицеллюлитный солевой скраб «notalone» с ароматом ванили, 250 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"85.07";"85,07";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"ALON013";"NOTALONE Антицеллюлитный солевой скраб «notalone» с ароматом черного перца и нероли, 250 мл";"NOTALONE Антицеллюлитный солевой скраб «notalone» с ароматом черного перца и нероли, 250 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"84.69";"84,69";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"ALON010";"NOTALONE Насыщенный маслами крем для тела «notalone» с ароматом пачули, ванили и амбры, 250 мл";"NOTALONE Насыщенный маслами крем для тела «notalone» с ароматом пачули, ванили и амбры, 250 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"40.51";"40,51";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"ALON007";"NOTALONE Питательный крем для тела «notalone» с ароматом ванили, 250 мл";"NOTALONE Питательный крем для тела «notalone» с ароматом ванили, 250 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"39.869999999999997";"39,87";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"ALON008";"NOTALONE Увлажняющий крем для тела «notalone» с ароматом пряной вишни, 250 мл";"NOTALONE Увлажняющий крем для тела «notalone» с ароматом пряной вишни, 250 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"41.58";"41,58";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"ALON009";"NOTALONE Увлажняющий моделирующий крем для тела «notalone» с ароматом черного перца и нероли, 250 мл";"NOTALONE Увлажняющий моделирующий крем для тела «notalone» с ароматом черного перца и нероли, 250 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"43.87";"43,87";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NOV001";"NOVELLA Увлажняющее гидрофильное масло для умывания, 100 мл";"NOVELLA Увлажняющее гидрофильное масло для умывания, 100 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"48.82";"48,82";"2025-08-27T15:57:39";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
"OK";"NUDI00137";"NUDIBRANCHES  Жидкие тени для век с бирюзовым сиянием PEARL WINK, 3,5 мл";"NUDIBRANCHES  Жидкие тени для век с бирюзовым сиянием PEARL WINK, 3,5 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NUDI00134";"NUDIBRANCHES  Жидкие тени для век с зеленым сиянием PEARL WINK, 3,5 мл";"NUDIBRANCHES  Жидкие тени для век с зеленым сиянием PEARL WINK, 3,5 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"NUDI00072";"NUDIBRANCHES  Защитный стик от солнца с ароматом мангового смузи SPF 50";"NUDIBRANCHES  Защитный стик от солнца с ароматом мангового смузи SPF 50";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
